,func_before,type_label,CWE ID
0,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_class_malloc_54
{




void REDACTEDSink_b(TwoIntsClass * data);

void REDACTED()
{
    TwoIntsClass * data;

    data = 0;

    data = (TwoIntsClass *)malloc(100*sizeof(TwoIntsClass));
    if (data == 0) {exit(-1);}
    REDACTEDSink_b(data);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_array_class_malloc_54;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
1,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_struct_73
{




void REDACTEDSink(list<twoIntsStruct *> dataList);

void REDACTED()
{
    twoIntsStruct * data;
    list<twoIntsStruct *> dataList;

    data = 0;

    data = new twoIntsStruct[100];

    dataList.push_back(data);
    dataList.push_back(data);
    dataList.push_back(data);
    REDACTEDSink(dataList);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_free_struct_73;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
2,"namespace REDACTED_Mismatched_Memory_Management_Routines__delete_struct_realloc_61
{



twoIntsStruct * REDACTEDSource(twoIntsStruct * data)
{
    data = 0;

    data = (twoIntsStruct *)realloc(data, 100*sizeof(twoIntsStruct));
    if (data == 0) {exit(-1);}
    return data;
}
}
",C,CWE-762
3,"namespace FILENAME
{



void REDACTED()
{
    int64_t * data;

    data = 0;
    if(5==5)
    {

        data = new int64_t;
    }
    if(5==5)
    {


        delete [] data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
4,"namespace FILENAME
{



void REDACTED()
{
    twoIntsStruct * data;

    data = 0;
    switch(6)
    {
    case 6:

        data = new twoIntsStruct[100];
        break;
    default:

        printLine(""Benign, fixed string"");
        break;
    }
    switch(7)
    {
    case 7:


        delete data;
        break;
    default:

        printLine(""Benign, fixed string"");
        break;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
5,"namespace FILENAME
{



void REDACTED()
{
    wchar_t * data;
    wchar_t * &dataRef = data;

    data = 0;

    data = (wchar_t *)malloc(100*sizeof(wchar_t));
    if (data == 0) {exit(-1);}
    {
        wchar_t * data = dataRef;


        delete [] data;
    }
}
}







using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
6,"namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_delete_struct_68
{

twoIntsStruct * REDACTEDData;
twoIntsStruct * REDACTEDREDACTEDData;
twoIntsStruct * REDACTEDB2GData;




void REDACTEDSink();

void REDACTED()
{
    twoIntsStruct * data;

    data = 0;

    data = new twoIntsStruct[100];
    REDACTEDData = data;
    REDACTEDSink();
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__new_array_delete_struct_68;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
7,"namespace FILENAME
{



void REDACTEDSource(int * &data)
{

    data = (int *)calloc(100, sizeof(int));
    if (data == 0) {exit(-1);}
}

void REDACTED()
{
    int * data;

    data = 0;
    REDACTEDSource(data);


    delete data;
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
8,"using namespace std;

namespace REDACTED_Mismatched_Memory_Management_Routines__delete_long_realloc_73
{




void REDACTEDSink(list<long *> dataList);

void REDACTED()
{
    long * data;
    list<long *> dataList;

    data = 0;
    data = 0;

    data = (long *)realloc(data, 100*sizeof(long));
    if (data == 0) {exit(-1);}

    dataList.push_back(data);
    dataList.push_back(data);
    dataList.push_back(data);
    REDACTEDSink(dataList);
}
}
using namespace REDACTED_Mismatched_Memory_Management_Routines__delete_long_realloc_73;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
9,"static int staticTrue = 1;
static int staticFalse = 0;

namespace FILENAME
{



void REDACTED()
{
    wchar_t * data;

    data = 0;
    if(staticTrue)
    {

        data = (wchar_t *)malloc(100*sizeof(wchar_t));
        if (data == 0) {exit(-1);}
    }
    if(staticTrue)
    {


        delete data;
    }
}
}
using namespace FILENAME;

int main(int argc, char * argv[])
{

    srand( (unsigned)time(0) );






    printLine(""Calling REDACTED()..."");
    REDACTED();
    printLine(""Finished REDACTED()"");

    return 0;
}
",C,CWE-762
